id,nume,categorie,pret,clasa,consum_energetic,rating,nr_reviewuri,url_produs,imagine_url,Producator,Volum,Inaltime,Alb,Argintiu,O_usa,Doua_usi,Minibar
56,"Frigider cu doua usi LG GTBV20SWGKD, 266 l, No Frost, Compresor Inverter, H 168 cm, Clasa E, Alb",Frigidere,2749.99,E,203,0,0,https://www.emag.ro/frigider-cu-doua-usi-lg-266-l-no-frost-compresor-inverter-h-168-cm-clasa-e-alb-gtbv20swgkd/pd/DD1N3SYBM/,https://s13emagst.akamaized.net/products/73057/73056900/images/res_ee605c4321af260e4c57dc93edad9f9b.jpg?width=720&height=720&hash=0C1AA28F6E000FBE289DA9C497B91C91,LG,266,50,1,0,0,1,0
57,"Frigider cu o usa incorporabil Beko BSSA300M4SN, 175 l, Usa reversibila, XXL Bottle holder, Clasa E, H 121.5 cm",Frigidere,1399.98,E,152,5,3,https://www.emag.ro/frigider-cu-o-usa-incorporabil-beko-175-l-usa-reversibila-xxl-bottle-holder-clasa-e-h-121-5-cm-bssa300m4sn/pd/DRSK5KYBM/,https://s13emagst.akamaized.net/products/65430/65429276/images/res_4326ea007f8063a07d7f539b1647c151.jpg?width=720&height=720&hash=F53A5EFBACE356ACF250A1EC50D714EB,Beko,175,186,0,0,1,0,0
58,"Frigider cu o usa Beko B1RMLNE444XB, 365 l, No Frost, AeroFlow, Iluminare LED, Clasa E, H 186,5 cm, Argintiu",Frigidere,2499.9,E,143,5,2,https://www.emag.ro/frigider-cu-o-usa-beko-365-l-no-frost-aeroflow-iluminare-led-clasa-e-h-186-5-cm-argintiu-b1rmlne444xb/pd/D0DBCDYBM/,https://s13emagst.akamaized.net/products/63396/63395444/images/res_f9d3bc788b99768bb9035cdb9623d860.jpg?width=720&height=720&hash=4E1E85FEF548579D39E1E67754DDA5C0,Beko,365,143,0,1,1,0,0
59,"Frigider Minibar TCL RF045DWE0, 45 l, Control mecanic, Maner retras, Picioruse reglabile, Clasa E, H 50 cm, Alb",Frigidere,569.98,E,80,0,0,https://www.emag.ro/frigider-minibar-tcl-45-l-control-mecanic-maner-retras-picioruse-reglabile-clasa-e-h-50-cm-alb-rf045dwe0/pd/DVMHTFYBM/,https://s13emagst.akamaized.net/products/71331/71330274/images/res_05afd7242d42f4f12f291bcc99ec89dd.jpg?width=720&height=720&hash=9B55AA212E626770949885CB9CF9834E,TCL,45,186,1,0,0,0,1
60,"Frigider cu o usa Heinner HF-V401NFXWDF+, 389 l, No Frost, Dozator de apa, Clasa F, H 186 cm, Argintiu",Frigidere,2520.04,F,152,4.72,36,https://www.emag.ro/frigider-cu-o-usa-heinner-389-l-no-frost-dozator-de-apa-clasa-f-h-186-cm-argintiu-hf-v401nfxwdf/pd/DRP6WTMBM/,https://s13emagst.akamaized.net/products/36014/36013872/images/res_b8c81f3a3d149ebd94b8059edd33f45f.jpg?width=720&height=720&hash=4323E86E8AECF8D7940114C3DBC66532,Heinner,389,155,0,1,1,0,0
61,"Frigider cu doua usi Heinner HF-205F+, 205 l, Clasa F, IIluminare LED, 3 rafturi de sticla, H 143.4 cm, Alb",Frigidere,1038.1,F,221,4.81,79,https://www.emag.ro/frigider-cu-doua-usi-heinner-205-l-clasa-f-iiluminare-led-3-rafturi-de-sticla-h-143-4-cm-alb-hf-205f/pd/DKCQ17MBM/,https://s13emagst.akamaized.net/products/25260/25259179/images/res_3ad0fbc4b209990ac2c0f875c54dc77b.jpg?width=720&height=720&hash=3DA35FDE817AF83733EDF45F512A2C4B,Heinner,205,160,1,0,0,1,0
62,"Frigider cu o usa Beko B1RMLNE444W, 365 l, No Frost, AeroFlow, Iluminare LED, Clasa E, H 186,5 cm, Alb",Frigidere,2748.99,E,143,5,2,https://www.emag.ro/frigider-cu-o-usa-beko-365-l-no-frost-aeroflow-iluminare-led-clasa-e-h-186-5-cm-alb-b1rmlne444w/pd/D9DBCDYBM/,https://s13emagst.akamaized.net/products/63396/63395448/images/res_0e9ebf24480b493a3ee26b0ffd278516.jpg?width=720&height=720&hash=633915EC7EDD8772194B324811308BB1,Beko,365,82,1,0,1,0,0
63,"Frigider cu o usa Electrolux LRB1DE33W, 309 l, Clasa E, Control electronic, Iluminare LED, Ventilator, Usa reversibila, H 155 cm, Alb",Frigidere,2499.98,E,112,5,2,https://www.emag.ro/frigider-cu-o-usa-electrolux-309-l-clasa-e-control-electronic-iluminare-led-ventilator-usa-reversibila-h-155-cm-alb-lrb1de33w/pd/DKG4X4MBM/,https://s13emagst.akamaized.net/products/46583/46582499/images/res_f8176574f9a7f25823af43bed2b9ff50.jpg?width=720&height=720&hash=0023231AAABA9BD30E2A9FFC3ABC7712,Electrolux,309,143,1,0,1,0,0
64,"Frigider cu doua usi Heinner HF-V240SF+, 242 l, Clasa F, Less Frost, H 160 cm, Argintiu",Frigidere,1456.39,F,222,4.72,67,https://www.emag.ro/frigider-cu-doua-usi-heinner-242-l-clasa-f-less-frost-h-160-cm-argintiu-hf-v240sf/pd/D7MF0DMBM/,https://s13emagst.akamaized.net/products/34483/34482638/images/res_87870fa21de581ac48b98ab8ce4f582d.jpg?width=720&height=720&hash=D7BB843932A066CDDE7B9186C9E032C1,Heinner,242,175,0,1,0,1,0
65,"Frigider cu o usa STARCREST SF-85BK-E, Clasa E, Capacitate 85L, Iluminare interioara, Compartiment gheata, H 82 cm, Negru",Frigidere,749,E,84,4.9,10,https://www.emag.ro/frigider-cu-o-usa-starcrest-clasa-e-capacitate-85l-iluminare-interioara-compartiment-gheata-h-82-cm-negru-sf-85bk-e/pd/D7PPVCYBM/,https://s13emagst.akamaized.net/products/75709/75708755/images/res_8ab08396a4a6afd21b813ff680e4395a.jpg?width=720&height=720&hash=79540BDC2BCFA4D0A31DC5C134BC652B,STARCREST,85,186,0,1,1,0,0
